sample_id,time,Valuetype,Source,Value
2372,"2017-09-25 19:32:56.392149",sourceid,str#226,3.0
2373,"2017-09-25 19:52:17.338094",flushspeed,gw#195,1.47161794680563
2373,"2017-09-25 19:52:17.338094",samplevol,gw#195,58.8161544799805
2372,"2017-09-25 19:32:56.392149",cows_switchtime,str#226,1020.0
2372,"2017-09-25 19:32:56.392149",std_d18O,str#226,0.156478848841243
2372,"2017-09-25 19:32:56.392149",std_d2H,str#226,0.358203987193132
2372,"2017-09-25 19:32:56.392149",std_H2O,str#226,80.1212564657326
2372,"2017-09-25 19:32:56.392149",mean_H2O,str#226,19585.9678274765
2372,"2017-09-25 19:32:56.392149",cows_readytime,str#226,1200.0
2372,"2017-09-25 19:32:56.392149",mean_d18O,str#226,-29.4857394022024
2372,"2017-09-25 19:32:56.392149",mean_d2H,str#226,-120.17917284996
2373,"2017-09-25 19:52:17.338094",sourceid,gw#195,4.0
2373,"2017-09-25 19:52:17.338094",cows_switchtime,gw#195,1020.0
2373,"2017-09-25 19:52:17.338094",std_d18O,gw#195,0.187246672150661
2373,"2017-09-25 19:52:17.338094",std_d2H,gw#195,0.371703881559467
2373,"2017-09-25 19:52:17.338094",std_H2O,gw#195,22.8521431686467
2373,"2017-09-25 19:52:17.338094",mean_H2O,gw#195,19536.1688637431
2373,"2017-09-25 19:52:17.338094",cows_readytime,gw#195,1200.0
2373,"2017-09-25 19:52:17.338094",mean_d18O,gw#195,-29.2022958742479
2373,"2017-09-25 19:52:17.338094",mean_d2H,gw#195,-118.422947883331
2374,"2017-09-25 20:09:19.524992",cows_switchtime,CoWSstd1,1020.0
2374,"2017-09-25 20:09:19.524992",std_d18O,CoWSstd1,0.195904487630847
2374,"2017-09-25 20:09:19.524992",std_d2H,CoWSstd1,0.366776330621027
2374,"2017-09-25 20:09:19.524992",std_H2O,CoWSstd1,68.3652396053802
2374,"2017-09-25 20:09:19.524992",mean_H2O,CoWSstd1,19563.3330430617
2374,"2017-09-25 20:09:19.524992",cows_readytime,CoWSstd1,1200.0
2374,"2017-09-25 20:09:19.524992",mean_d18O,CoWSstd1,-19.3549074964859
2374,"2017-09-25 20:09:19.524992",mean_d2H,CoWSstd1,-72.4012362173061
2376,"2017-09-25 20:31:22.385868",flushspeed,str#176,3.64756881904419
2376,"2017-09-25 20:31:22.385868",samplevol,str#176,72.145263671875
2376,"2017-09-25 20:31:22.385868",sourceid,str#176,2.0
2376,"2017-09-25 20:31:22.385868",cows_switchtime,str#176,1020.0
2376,"2017-09-25 20:31:22.385868",std_d18O,str#176,0.176932075883124
2376,"2017-09-25 20:31:22.385868",std_d2H,str#176,0.333621953041135
2376,"2017-09-25 20:31:22.385868",std_H2O,str#176,40.5803343887476
2376,"2017-09-25 20:31:22.385868",mean_H2O,str#176,19741.2382660777
2376,"2017-09-25 20:31:22.385868",cows_readytime,str#176,1200.0
2376,"2017-09-25 20:31:22.385868",mean_d18O,str#176,-29.3129356846585
2376,"2017-09-25 20:31:22.385868",mean_d2H,str#176,-119.029137277161
2377,"2017-09-25 20:53:20.548622",flushspeed,gw#233,2.15188531163878
2377,"2017-09-25 20:53:20.548622",samplevol,gw#233,70.4699401855469
2377,"2017-09-25 20:53:20.548622",sourceid,gw#233,8.0
2377,"2017-09-25 20:53:20.548622",cows_switchtime,gw#233,1020.0
2377,"2017-09-25 20:53:20.548622",std_d18O,gw#233,0.189206577526748
2377,"2017-09-25 20:53:20.548622",std_d2H,gw#233,0.36278201031215
2377,"2017-09-25 20:53:20.548622",std_H2O,gw#233,32.33948029179
2377,"2017-09-25 20:53:20.548622",mean_H2O,gw#233,19682.4705365624
2377,"2017-09-25 20:53:20.548622",cows_readytime,gw#233,1200.0
2377,"2017-09-25 20:53:20.548622",mean_d18O,gw#233,-29.3333680269491
2377,"2017-09-25 20:53:20.548622",mean_d2H,gw#233,-118.864319030968
2378,"2017-09-25 21:14:38.438953",flushspeed,str#226,1.42332230291233
2378,"2017-09-25 21:14:38.438953",samplevol,str#226,57.4253616333008
2378,"2017-09-25 21:14:38.438953",sourceid,str#226,3.0
2379,"2017-09-25 21:33:47.618747",flushspeed,gw#125,1.94043298394108
2379,"2017-09-25 21:33:47.618747",samplevol,gw#125,59.8022041320801
2378,"2017-09-25 21:14:38.438953",cows_switchtime,str#226,1020.0
2378,"2017-09-25 21:14:38.438953",std_d18O,str#226,0.209442326184704
2378,"2017-09-25 21:14:38.438953",std_d2H,str#226,0.382910479618488
2378,"2017-09-25 21:14:38.438953",std_H2O,str#226,89.6446648613863
2378,"2017-09-25 21:14:38.438953",mean_H2O,str#226,19757.3629303626
2378,"2017-09-25 21:14:38.438953",cows_readytime,str#226,1200.0
2378,"2017-09-25 21:14:38.438953",mean_d18O,str#226,-29.53001512842
2378,"2017-09-25 21:14:38.438953",mean_d2H,str#226,-119.948966250644
2379,"2017-09-25 21:33:47.618747",sourceid,gw#125,7.0
2379,"2017-09-25 21:33:47.618747",cows_switchtime,gw#125,1020.0
2379,"2017-09-25 21:33:47.618747",std_d18O,gw#125,0.218824429238877
2379,"2017-09-25 21:33:47.618747",std_d2H,gw#125,0.387418932435421
2379,"2017-09-25 21:33:47.618747",std_H2O,gw#125,48.4852657179994
2379,"2017-09-25 21:33:47.618747",mean_H2O,gw#125,19971.2353951793
2379,"2017-09-25 21:33:47.618747",cows_readytime,gw#125,1200.0
2379,"2017-09-25 21:33:47.618747",mean_d18O,gw#125,-29.0806481609484
2379,"2017-09-25 21:33:47.618747",mean_d2H,gw#125,-117.136508694946
2381,"2017-09-25 21:53:12.909663",cows_switchtime,CoWSstd2,1020.0
2381,"2017-09-25 21:53:12.909663",std_d18O,CoWSstd2,0.194960229902061
2381,"2017-09-25 21:53:12.909663",std_d2H,CoWSstd2,0.519152932944804
2381,"2017-09-25 21:53:12.909663",std_H2O,CoWSstd2,95.118290173105
2381,"2017-09-25 21:53:12.909663",mean_H2O,CoWSstd2,19853.4394372399
2381,"2017-09-25 21:53:12.909663",cows_readytime,CoWSstd2,1200.0
2381,"2017-09-25 21:53:12.909663",mean_d18O,CoWSstd2,-40.1556611699192
2381,"2017-09-25 21:53:12.909663",mean_d2H,CoWSstd2,-200.363900311477
2382,"2017-09-25 22:16:24.767070",flushspeed,str#176,2.88668099107675
2382,"2017-09-25 22:16:24.767070",samplevol,str#176,65.4381713867187
2382,"2017-09-25 22:16:24.767070",sourceid,str#176,2.0
2382,"2017-09-25 22:16:24.767070",cows_switchtime,str#176,1020.0
2382,"2017-09-25 22:16:24.767070",std_d18O,str#176,0.198358858241863
2382,"2017-09-25 22:16:24.767070",std_d2H,str#176,0.356477197725092
2382,"2017-09-25 22:16:24.767070",std_H2O,str#176,89.213551104688
2382,"2017-09-25 22:16:24.767070",mean_H2O,str#176,19811.5776542488
2382,"2017-09-25 22:16:24.767070",cows_readytime,str#176,1200.0
2382,"2017-09-25 22:16:24.767070",mean_d18O,str#176,-29.516707624753
2382,"2017-09-25 22:16:24.767070",mean_d2H,str#176,-120.533598128732
2383,"2017-09-25 22:39:42.941992",flushspeed,str#226,1.56568334743467
2383,"2017-09-25 22:39:42.941992",samplevol,str#226,67.3196868896484
2383,"2017-09-25 22:39:42.941992",sourceid,str#226,3.0
2384,"2017-09-25 22:59:14.022949",flushspeed,gw#195,1.68297091652561
2384,"2017-09-25 22:59:14.022949",samplevol,gw#195,72.2718200683594
2383,"2017-09-25 22:39:42.941992",cows_switchtime,str#226,1020.0
2383,"2017-09-25 22:39:42.941992",std_d18O,str#226,0.197663884154538
2383,"2017-09-25 22:39:42.941992",std_d2H,str#226,0.37805626491789
2383,"2017-09-25 22:39:42.941992",std_H2O,str#226,64.8683389290565
2383,"2017-09-25 22:39:42.941992",mean_H2O,str#226,19901.6174747487
2383,"2017-09-25 22:39:42.941992",cows_readytime,str#226,1200.0
2383,"2017-09-25 22:39:42.941992",mean_d18O,str#226,-29.6002543347325
2383,"2017-09-25 22:39:42.941992",mean_d2H,str#226,-120.325965472001
2384,"2017-09-25 22:59:14.022949",sourceid,gw#195,4.0
2384,"2017-09-25 22:59:14.022949",cows_switchtime,gw#195,1020.0
2384,"2017-09-25 22:59:14.022949",std_d18O,gw#195,0.181476317166011
2384,"2017-09-25 22:59:14.022949",std_d2H,gw#195,0.392535311669849
2384,"2017-09-25 22:59:14.022949",std_H2O,gw#195,40.2803390784947
2384,"2017-09-25 22:59:14.022949",mean_H2O,gw#195,19682.8188474672
